prompt,essay,grade_level,assignment_type,grade
"Explain how the theme of survival appears in Night.","The theme of survival in Night is shown through Elie's determination to live despite losing his family and his faith. He continues moving through each camp even when he feels hopeless. Wiesel shows that survival sometimes means becoming numb just to continue. This shows that survival is not only physical but also mental.",11,essay,A-
"Explain how the theme of survival appears in Night.","The book Night shows survival because Elie keeps going. He survives by listening to his father and following instructions. The theme is important because it tells us about staying alive.",9,essay,C
"Compare two opposing ideas in your book.","One idea is that family provides strength, but another idea is that fear can separate families. These two ideas oppose each other because one emphasizes unity while the other emphasizes disconnection. This shows how trauma can break or strengthen people.",10,essay,B+
"Compare two opposing ideas in your book.","There are two ideas in the book. One is hope and the other is darkness. They are different because one is positive and one is negative.",9,essay,C-
"Analyze how the protagonist changes over time.","The protagonist changes from being fearful to courageous. At the start, they avoid conflict, but by the end, they confront challenges directly. This shows strong character development and reveals the book's theme of inner growth.",12,essay,A
"Analyze how the protagonist changes over time.","The character changes a little because they learn things and grow. They become better at handling stuff.",9,essay,C
"Explain the impact of setting on the story.","The dark and oppressive setting creates tension and mirrors the internal struggles of the characters. The author uses harsh environments to show emotional pressure.",11,essay,B+
"Explain the impact of setting on the story.","The setting is important because it is dark and scary and affects the characters.",9,essay,C
"Write a reading response about a key idea from your text.","A key idea from my text is courage. The author shows courage through characters who act bravely even when scared. This shows the theme of overcoming fear.",10,reading,B
"Write a reading response about a key idea from your text.","The text is about family. It shows family is good.",9,reading,D+
"Describe the main conflict and how it is resolved.","The main conflict is internal. The character must accept their identity. By the end, they embrace who they are. This resolution shows growth and self-acceptance.",11,essay,B+
"Describe the main conflict and how it is resolved.","The conflict gets resolved because the character wins.",9,essay,C-
"Explain the significance of a scientific variable in your lab.","The independent variable in our lab affected the reaction rate. As the temperature increased, the reaction speed increased. This shows how temperature influences molecular movement.",12,lab,B+
"Explain the significance of a scientific variable in your lab.","The variable changed the results and made things different.",9,lab,C
"Answer the DBQ question using two pieces of evidence.","Document A shows that colonists were frustrated with unfair taxes. Document B shows they wanted independence. Putting these together, the author argues the Revolution was caused by political oppression.",11,dbq,B
"Answer the DBQ question using two pieces of evidence.","The documents show history things and tell us about the past.",9,dbq,D
"Explain the author's purpose in your article.","The author's purpose was to inform readers about climate change and persuade them to take action. The tone is urgent and supported by statistics. This shows a mix of informative and persuasive writing.",12,essay,A-
"Explain the author's purpose in your article.","The author wants to tell people something important.",9,essay,C-
"Analyze how symbolism enhances the story.","The use of light and shadow symbolizes hope versus despair. This contrast deepens the story’s emotional layers and highlights the protagonist’s internal battles.",12,essay,A
"Analyze how symbolism enhances the story.","The story uses symbols to show themes.",9,essay,C
